,gender,ethnicity,parent_ed,lunch,test_prep,math_score,reading_score,writing_score,prep_course,free_lunch,male,eth_B,eth_C,eth_D,eth_E,ped_shs,ped_hs,ped_sc,ped_ad,ped_md
64,female,group D,some high school,standard,none,59,58,59,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
65,male,group B,some high school,standard,none,67,64,61,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,male,group D,some high school,free/reduced,none,45,37,37,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
67,female,group C,some college,standard,none,60,72,74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,male,group B,associate's degree,free/reduced,none,61,58,56,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,female,group C,associate's degree,standard,none,39,64,57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70,female,group D,some college,free/reduced,completed,58,63,73,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
71,male,group D,some college,standard,completed,63,55,63,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
72,female,group A,associate's degree,free/reduced,none,41,51,48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,male,group C,some high school,free/reduced,none,61,57,56,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74,male,group C,some high school,standard,none,49,49,41,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75,male,group B,associate's degree,free/reduced,none,44,41,38,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,male,group E,some high school,standard,none,30,26,22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
77,male,group A,bachelor's degree,standard,completed,80,78,81,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,female,group D,some high school,standard,completed,61,74,72,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
79,female,group E,master's degree,standard,none,62,68,68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
80,female,group B,associate's degree,standard,none,47,49,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,male,group B,high school,free/reduced,none,49,45,45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
82,male,group A,some college,free/reduced,completed,50,47,54,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,male,group E,associate's degree,standard,none,72,64,63,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
84,male,group D,high school,free/reduced,none,42,39,34,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
85,female,group C,some college,standard,none,73,80,82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,female,group C,some college,free/reduced,none,76,83,88,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
87,female,group D,associate's degree,standard,none,71,71,74,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
88,female,group A,some college,standard,none,58,70,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89,female,group D,some high school,standard,none,73,86,82,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
90,female,group C,bachelor's degree,standard,none,65,72,74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,male,group C,high school,free/reduced,none,27,34,36,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92,male,group C,high school,standard,none,71,79,71,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
93,male,group C,associate's degree,free/reduced,completed,43,45,50,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
94,female,group B,some college,standard,none,79,86,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,male,group C,associate's degree,free/reduced,completed,78,81,82,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96,male,group B,some high school,standard,completed,65,66,62,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
97,female,group E,some college,standard,completed,63,72,70,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
98,female,group D,some college,free/reduced,none,58,67,62,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
99,female,group D,bachelor's degree,standard,none,65,67,62,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,male,group B,some college,standard,none,79,67,67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
101,male,group D,bachelor's degree,standard,completed,68,74,74,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,female,group D,associate's degree,standard,none,85,91,89,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
103,male,group B,high school,standard,completed,60,44,47,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
104,male,group C,some college,standard,completed,98,86,90,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,female,group C,some college,standard,none,58,67,72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106,female,group D,master's degree,standard,none,87,100,100,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
107,male,group E,associate's degree,standard,completed,66,63,64,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
108,female,group B,associate's degree,free/reduced,none,52,76,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
109,female,group B,some high school,standard,none,70,64,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
110,female,group D,associate's degree,free/reduced,completed,77,89,98,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
111,male,group C,high school,standard,none,62,55,49,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
112,male,group A,associate's degree,standard,none,54,53,47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,female,group D,some college,standard,none,51,58,54,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
114,female,group E,bachelor's degree,standard,completed,99,100,100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115,male,group C,high school,standard,none,84,77,74,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
116,female,group B,bachelor's degree,free/reduced,none,75,85,82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,female,group D,bachelor's degree,standard,none,78,82,79,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,female,group D,some high school,standard,none,51,63,61,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
119,female,group C,some college,standard,none,55,69,65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
120,female,group C,bachelor's degree,standard,completed,79,92,89,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,male,group B,associate's degree,standard,completed,91,89,92,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
122,female,group C,some college,standard,completed,88,93,93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
123,male,group D,high school,free/reduced,none,63,57,56,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
124,male,group E,some college,standard,none,83,80,73,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
125,female,group B,high school,standard,none,87,95,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
126,male,group B,some high school,standard,none,72,68,67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
127,male,group D,some college,standard,completed,65,77,74,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
128,male,group D,master's degree,standard,none,82,82,74,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
129,female,group A,bachelor's degree,standard,none,51,49,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,male,group D,master's degree,standard,none,89,84,82,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
131,male,group C,some high school,free/reduced,completed,53,37,40,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132,male,group E,some college,free/reduced,completed,87,74,70,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
133,female,group C,some college,standard,completed,75,81,84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
135,male,group C,bachelor's degree,standard,none,58,55,48,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,male,group B,some high school,standard,completed,51,54,41,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
137,male,group E,high school,standard,none,70,55,56,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
138,female,group C,associate's degree,standard,none,59,66,67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
139,male,group D,some college,standard,completed,71,61,69,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
140,female,group D,some high school,standard,none,76,72,71,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
141,female,group C,some college,free/reduced,none,59,62,64,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
142,female,group E,some college,free/reduced,completed,42,55,54,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
143,male,group A,high school,standard,none,57,43,47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
144,male,group D,some college,standard,none,88,73,78,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
145,female,group C,some college,free/reduced,none,22,39,33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
146,male,group B,some high school,standard,none,88,84,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
147,male,group C,associate's degree,free/reduced,none,73,68,66,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
148,female,group D,bachelor's degree,standard,completed,68,75,81,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
149,male,group E,associate's degree,free/reduced,completed,100,100,93,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
150,male,group A,some high school,standard,completed,62,67,69,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
151,male,group A,bachelor's degree,standard,none,77,67,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,female,group B,associate's degree,standard,completed,59,70,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
153,male,group D,bachelor's degree,standard,none,54,49,47,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
154,male,group D,some high school,standard,none,62,67,61,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
155,female,group C,some college,standard,completed,70,89,88,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
156,female,group E,high school,free/reduced,completed,66,74,78,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
157,male,group B,some college,free/reduced,none,60,60,60,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
158,female,group B,associate's degree,standard,completed,61,86,87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
159,male,group D,associate's degree,free/reduced,none,66,62,64,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
160,male,group B,associate's degree,free/reduced,completed,82,78,74,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
161,female,group E,some college,free/reduced,completed,75,88,85,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
162,male,group B,master's degree,free/reduced,none,49,53,52,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163,male,group C,high school,standard,none,52,53,49,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
164,female,group E,master's degree,standard,none,81,92,91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
165,female,group C,bachelor's degree,standard,completed,96,100,100,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,male,group C,high school,free/reduced,completed,53,51,51,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
167,female,group B,master's degree,free/reduced,completed,58,76,78,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168,female,group B,high school,standard,completed,68,83,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
169,female,group C,some college,free/reduced,completed,67,75,70,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170,male,group A,high school,standard,completed,72,73,74,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
171,male,group E,some high school,standard,none,94,88,78,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
172,female,group D,some college,standard,none,79,86,81,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
173,female,group C,associate's degree,standard,none,63,67,70,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,female,group C,master's degree,standard,completed,81,91,87,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
176,female,group B,high school,free/reduced,completed,46,54,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
177,female,group C,associate's degree,standard,completed,71,77,77,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
178,female,group B,master's degree,free/reduced,completed,52,70,62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,female,group D,some high school,standard,completed,97,100,100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
180,male,group C,master's degree,free/reduced,completed,62,68,75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,female,group C,some college,free/reduced,none,46,64,66,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
182,female,group E,high school,standard,none,50,50,47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
183,female,group D,associate's degree,standard,none,65,69,70,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
184,male,group C,some high school,free/reduced,completed,45,52,49,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
185,male,group C,associate's degree,free/reduced,completed,65,67,65,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
186,male,group E,high school,standard,none,80,76,65,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
187,male,group D,some high school,standard,completed,62,66,68,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
188,male,group B,some high school,free/reduced,none,48,52,45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
189,female,group C,bachelor's degree,standard,none,77,88,87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,female,group E,associate's degree,standard,none,66,65,69,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
